1.00E-10,0.040907066,0.012372323,0.003649197,0.42239823
1.00E-09,0.046028993,0.014244612,0.004075257,0.581054134
1.00E-08,0.064333014,0.019605776,0.00576339,0.642113593
1.00E-07,0.130035154,0.039524472,0.011515348,0.638493856
1.00E-06,0.224339537,0.072222479,0.021369054,0.507185273
1.00E-05,0.277054922,0.099192007,0.030104554,0.268528877
1.00E-04,0.295857942,0.122295043,0.037916921,0.102343726
1.00E-03,0.279826257,0.137101698,0.044852216,0.03523429
1.00E-02,0.258342157,0.150017675,0.050775452,0.01027178
0.1,0.242738495,0.179045502,0.072829934,0.00256379
5.00E-01,0.209767231,0.233831696,0.126109674,0.001335051
1.00E+00,0.171528027,0.240950278,0.167962909,0.001170494
1.50E+00,0.146769765,0.244246304,0.192334194,0.00119673
2.00E+00,0.124682696,0.236280733,0.201622497,0.001159938
2.50E+00,0.108591402,0.224931778,0.20392806,0.001006356
3.00E+00,0.097069145,0.215135096,0.2126901,0.000876476
3.50E+00,0.08548076,0.190612234,0.190190737,0.000751549
4.00E+00,0.080061581,0.189051064,0.194130234,0.000671478
4.50E+00,0.071761081,0.18518526,0.201281148,0.000582834
5.00E+00,0.068064564,0.174668915,0.203673363,0.000535801
5.50E+00,0.062937596,0.167914183,0.199766863,0.000476122
6.00E+00,0.058427503,0.16292499,0.193202925,0.000424807
6.50E+00,0.054067299,0.156216765,0.192174211,0.000389466
7.00E+00,0.049286664,0.14724075,0.184802865,0.000364116
7.50E+00,0.046555018,0.140286212,0.173692497,0.000336802
8.00E+00,0.043827631,0.129502321,0.164336976,0.000322585
8.50E+00,0.039475476,0.129201619,0.162867903,0.000302247
9.00E+00,0.036846506,0.117492945,0.156023256,0.000280872
9.50E+00,0.034773176,0.111171648,0.149767769,0.00026539
1.00E+01,0.033557359,0.108050733,0.151704992,0.000251293
1.05E+01,0.032711565,0.108820672,0.150186153,0.000238973
1.10E+01,0.032874746,0.108315764,0.144033162,0.000223905
